文献ID,大纲,综字数,述字数
,引言,330,270
10.3389/frai.2026.1737532,AI 治理、责任与披露,408,289
10.1111/bjet.13560,AI 治理、责任与披露,213,156
10.3390/jintelligence13060060,AI 治理、责任与披露,138,102
10.1016/j.inffus.2023.101896,AI 治理、责任与披露,38,29
10.1007/978-3-642-28641-4_22,AI 治理、责任与披露,41,32
10.1007/s43681-022-00169-1,AI 治理、责任与披露,37,29
10.3389/feduc.2025.1710992,AI 治理、责任与披露,32,25
10.3233/jcs-130487,AI 治理、责任与披露,28,22
10.1093/jamia/ocac006,AI 治理、责任与披露,24,19
10.1101/2024.10.23.619844,AI 治理、责任与披露,23,18
10.32628/shisrrj247133,AI 治理、责任与披露,23,19
10.1016/j.polgeo.2021.102381,AI 治理、责任与披露,21,17
10.30574/wjarr.2023.20.2.2194,AI 治理、责任与披露,21,17
10.3390/educsci15101322,AI 治理、责任与披露,19,15
10.3389/frai.2021.737072,AI 治理、责任与披露,20,16
10.1007/s43681-021-00084-x,AI 治理、责任与披露,19,16
10.1080/08839514.2025.2463722,AI 治理、责任与披露,20,16
10.1109/access.2018.2887201,AI 治理、责任与披露,21,17
10.1111/exsy.13406,AI 治理、责任与披露,18,15
10.18421/tem122-02,AI 治理、责任与披露,15,12
10.1162/dint_a_00119,AI 治理、责任与披露,15,12
10.31228/osf.io/97upg,AI 治理、责任与披露,11,9
10.2861/59990,AI 治理、责任与披露,12,10
10.1145/3514094.3534181,AI 治理、责任与披露,12,10
10.30574/gscarr.2024.18.3.0088,AI 治理、责任与披露,12,10
10.1007/s43681-021-00077-w,AI 治理、责任与披露,11,9
10.3390/economies12080199,AI 治理、责任与披露,12,10
10.1145/3442188.3445918,AI 编程与软件工程,46,36
10.1007/s43681-026-01147-7,人类主体性与人机协作,159,117
10.1186/s40779-026-00684-w,人类主体性与人机协作,27,21
10.1093/pnasnexus/pgag030,人类主体性与人机协作,19,15
10.70725/304731gmmvhw,人类主体性与人机协作,19,15
10.1609/hcomp.v6i1.13337,人类主体性与人机协作,16,13
10.1145/3715073.3715076,生成内容归因与水印,101,78
10.48550/arxiv.2310.14724,生成内容归因与水印,45,36
10.1109/access.2023.3294090,生成内容归因与水印,36,29
10.48550/arxiv.2301.11305,生成内容归因与水印,36,29
10.3390/e27080784,生成内容归因与水印,32,26
10.1109/ojcs.2023.3300321,生成内容归因与水印,27,22
10.9781/ijimai.2024.12.002,生成内容归因与水印,27,22
10.3390/electronics14132611,生成内容归因与水印,28,23
10.1002/lrh2.10019,贡献溯源与可审计性,78,61
10.55248/gengpi.6.0425.1547,贡献溯源与可审计性,69,54
10.3389/fninf.2017.00027,贡献溯源与可审计性,62,49
10.1145/3436897,贡献溯源与可审计性,55,43
10.32614/rj-2018-001,贡献溯源与可审计性,58,46
10.1613/jair.5098,贡献溯源与可审计性,47,37
10.3390/bdcc5020020,贡献溯源与可审计性,48,38
10.48550/arxiv.2310.16787,贡献溯源与可审计性,42,34
10.1109/access.2024.3366344,贡献溯源与可审计性,41,33
10.1371/journal.pone.0309210,贡献溯源与可审计性,34,27
10.3390/ai6070159,贡献溯源与可审计性,30,24
10.14722/ndss.2020.24270,贡献溯源与可审计性,30,25
10.1145/3539605,贡献溯源与可审计性,32,26
10.1093/gigascience/giz095,贡献溯源与可审计性,28,23
10.5281/zenodo.1966881,贡献溯源与可审计性,27,22
10.1145/3319535.3363217,贡献溯源与可审计性,28,23
10.1016/j.jjimei.2022.100075,贡献溯源与可审计性,26,21
10.3390/iot6030037,隐私、安全与完整性,214,153
10.3390/s22031271,隐私、安全与完整性,143,105
10.30574/wjaets.2023.10.2.0249,隐私、安全与完整性,65,49
10.48550/arxiv.2308.03927,隐私、安全与完整性,27,21
10.1109/access.2022.3201878,隐私、安全与完整性,25,20
10.1109/cloud.2014.121,隐私、安全与完整性,22,17
10.3390/computers14010001,隐私、安全与完整性,13,10
10.62225/2583049x.2023.3.1.4899,隐私、安全与完整性,13,11
10.30574/ijsra.2024.12.1.1076,隐私、安全与完整性,11,9
10.1109/access.2020.3037474,隐私、安全与完整性,11,9
10.1109/access.2022.3215660,隐私、安全与完整性,9,8
,讨论,330,270
,展望,330,270
,结论,330,270
